cell,Irr,Richness,Landuse
1.8202e-319,0.0036666666666666666,3,ForestDryPoor
1.82024e-319,0.0036666666666666666,3,ForestDryPoor
1.8203e-319,0.0036666666666666666,3,ForestDryPoor
1.82034e-319,0.0036666666666666666,3,ForestDryPoor
1.8204e-319,0.0036666666666666666,3,ForestDryPoor
1.82043e-319,0.0036666666666666666,3,ForestDryPoor
1.8205e-319,0.0036666666666666666,3,ForestDryPoor
1.82053e-319,0.0036666666666666666,3,ForestDryPoor
1.8206e-319,0.0036666666666666666,3,ForestDryPoor
1.82063e-319,0.0036666666666666666,3,ForestDryPoor
1.8207e-319,0.0036666666666666666,3,ForestDryPoor
1.82073e-319,0.013499999999999998,4,ForestDryPoor
1.8208e-319,0.013499999999999998,4,ForestDryPoor
1.82083e-319,0.011399999999999999,5,ForestDryPoor
1.8209e-319,0.011399999999999999,5,ForestDryPoor
1.84618e-319,0.014,1,ForestDryPoor
1.8462e-319,0.007,2,ForestDryPoor
1.84627e-319,0.007,2,ForestDryPoor
1.8463e-319,0.007,2,ForestDryPoor
1.84637e-319,0.007,2,ForestDryPoor
1.8464e-319,0.007,2,ForestDryPoor
1.84647e-319,0.007,2,ForestDryPoor
1.8465e-319,0.007,2,ForestDryPoor
1.84657e-319,0.007,2,ForestDryPoor
1.8466e-319,0.007,2,ForestDryPoor
1.84667e-319,0.007,2,ForestDryPoor
1.8467e-319,0.007,2,ForestDryPoor
1.84677e-319,0.007,2,ForestDryPoor
1.8468e-319,0.007,2,ForestDryPoor
1.84687e-319,0.007,2,ForestDryPoor
1.8469e-319,0.007,2,ForestDryPoor
1.84697e-319,0.007,2,ForestDryPoor
1.847e-319,0.007,2,ForestDryPoor
1.84706e-319,0.007,2,ForestDryPoor
1.8471e-319,0.007,2,ForestDryPoor
1.84716e-319,0.007,2,ForestDryPoor
1.8472e-319,0.007,2,ForestDryPoor
1.84726e-319,0.007,2,ForestDryPoor
1.8473e-319,0.007,2,ForestDryPoor
1.84736e-319,0.007,2,ForestDryPoor
1.8474e-319,0.007,2,ForestDryPoor
1.84746e-319,0.007,2,ForestDryPoor
1.8475e-319,0.007,2,ForestDryPoor
1.84953e-319,0.0036666666666666666,3,ForestDryPoor
1.8496e-319,0.0036666666666666666,3,ForestDryPoor
1.84963e-319,0.0036666666666666666,3,ForestDryPoor
1.8497e-319,0.0036666666666666666,3,ForestDryPoor
1.84973e-319,0.0036666666666666666,3,ForestDryPoor
1.8498e-319,0.0036666666666666666,3,ForestDryPoor
1.84983e-319,0.0036666666666666666,3,ForestDryPoor
1.8499e-319,0.0036666666666666666,3,ForestDryPoor
1.84993e-319,0.0036666666666666666,3,ForestDryPoor
1.85e-319,0.0036666666666666666,3,ForestDryPoor
1.85003e-319,0.0036666666666666666,3,ForestDryPoor
1.8501e-319,0.0036666666666666666,3,ForestDryPoor
1.85013e-319,0.0036666666666666666,3,ForestDryPoor
1.8502e-319,0.0036666666666666666,3,ForestDryPoor
1.85023e-319,0.013499999999999998,4,ForestDryPoor
1.8503e-319,0.013499999999999998,4,ForestDryPoor
1.85033e-319,0.011399999999999999,5,ForestDryPoor
1.85037e-319,0.011499999999999998,6,ForestDryPoor
1.8504e-319,0.011499999999999998,6,ForestDryPoor
1.85047e-319,0.011499999999999998,6,ForestDryPoor
1.8757e-319,0.014,1,ForestDryPoor
1.87577e-319,0.007,2,ForestDryPoor
1.8758e-319,0.007,2,ForestDryPoor
1.87587e-319,0.007,2,ForestDryPoor
1.8759e-319,0.007,2,ForestDryPoor
1.87597e-319,0.007,2,ForestDryPoor
1.876e-319,0.007,2,ForestDryPoor
1.87607e-319,0.007,2,ForestDryPoor
1.8761e-319,0.007,2,ForestDryPoor
1.87616e-319,0.007,2,ForestDryPoor
1.8762e-319,0.007,2,ForestDryPoor
1.87626e-319,0.007,2,ForestDryPoor
1.8763e-319,0.007,2,ForestDryPoor
1.87636e-319,0.007,2,ForestDryPoor
1.8764e-319,0.007,2,ForestDryPoor
1.87646e-319,0.007,2,ForestDryPoor
1.8765e-319,0.007,2,ForestDryPoor
1.87656e-319,0.007,2,ForestDryPoor
1.8766e-319,0.007,2,ForestDryPoor
1.87666e-319,0.007,2,ForestDryPoor
1.8767e-319,0.007,2,ForestDryPoor
1.87676e-319,0.007,2,ForestDryPoor
1.8768e-319,0.007,2,ForestDryPoor
1.87686e-319,0.007,2,ForestDryPoor
1.8769e-319,0.007,2,ForestDryPoor
1.87696e-319,0.007,2,ForestDryPoor
1.877e-319,0.007,2,ForestDryPoor
1.87705e-319,0.007,2,ForestDryPoor
1.8771e-319,0.007,2,ForestDryPoor
1.87913e-319,0.0036666666666666666,3,ForestDryPoor
1.8792e-319,0.0036666666666666666,3,ForestDryPoor
1.87923e-319,0.0036666666666666666,3,ForestDryPoor
1.8793e-319,0.0036666666666666666,3,ForestDryPoor
1.87933e-319,0.0036666666666666666,3,ForestDryPoor
1.8794e-319,0.0036666666666666666,3,ForestDryPoor
1.87943e-319,0.0036666666666666666,3,ForestDryPoor
1.87948e-319,0.0036666666666666666,3,ForestDryPoor
1.8795e-319,0.0036666666666666666,3,ForestDryPoor
1.87957e-319,0.0036666666666666666,3,ForestDryPoor
1.8796e-319,0.0036666666666666666,3,ForestDryPoor
1.87967e-319,0.0132,5,ForestDryPoor
1.8797e-319,0.0132,5,ForestDryPoor
1.87977e-319,0.0132,5,ForestDryPoor
1.8798e-319,0.011499999999999998,6,ForestDryPoor
1.87987e-319,0.011499999999999998,6,ForestDryPoor
1.8799e-319,0.011499999999999998,6,ForestDryPoor
1.87997e-319,0.011499999999999998,6,ForestDryPoor
1.88e-319,0.011499999999999998,6,ForestDryPoor
1.88007e-319,0.011499999999999998,6,ForestDryPoor
1.90527e-319,0.014,1,ForestDryPoor
1.9053e-319,0.007,2,ForestDryPoor
1.90536e-319,0.007,2,ForestDryPoor
1.9054e-319,0.007,2,ForestDryPoor
1.90546e-319,0.007,2,ForestDryPoor
1.9055e-319,0.007,2,ForestDryPoor
1.90556e-319,0.007,2,ForestDryPoor
1.9056e-319,0.007,2,ForestDryPoor
1.90566e-319,0.007,2,ForestDryPoor
1.9057e-319,0.007,2,ForestDryPoor
1.90576e-319,0.007,2,ForestDryPoor
1.9058e-319,0.007,2,ForestDryPoor
1.90586e-319,0.007,2,ForestDryPoor
1.9059e-319,0.007,2,ForestDryPoor
1.90596e-319,0.007,2,ForestDryPoor
1.906e-319,0.007,2,ForestDryPoor
